"id","ncbi_id","name","name_class","node_rank","parent_ncbi_id","edited_name","left_value","right_value"
2188776996,2188776996,"Pteragogus aurigarius","scientific name","species","202595","Pteragogus aurigarius",0,0
2186300495,2186300495,"Halichoeres tenuispinis","scientific name","species","51788","Halichoeres tenuispinis",0,0
2183321049,2183321049,"Choerodon robustus","scientific name","species","91744","Choerodon robustus",0,0
2183321020,2183321020,"Hologymnosus doliatus","scientific name","species","241304","Hologymnosus doliatus",0,0
2178620675,2178620675,"Hologymnosus annulatus","scientific name","species","241304","Hologymnosus annulatus",0,0
2174708190,2174708190,"Iniistius celebicus","scientific name","species","315409","Iniistius celebicus",0,0
985566731,985566731,"Anampses melanurus","scientific name","species","241262","Anampses melanurus",0,0
2119031507,2119031507,"Coris gaimard","scientific name","species","126328","Coris gaimard",0,0
2119031506,2119031506,"Coris dorsomacula","scientific name","species","126328","Coris dorsomacula",0,0
2119031503,2119031503,"Scarus ovifrons","scientific name","species","59660","Scarus ovifrons",0,0
2119031501,2119031501,"Hemigymnus melapterus","scientific name","species","241302","Hemigymnus melapterus",0,0
2119031479,2119031479,"Novaculops woodi","scientific name","species","1517489","Novaculops woodi",0,0
2119031478,2119031478,"Hologymnosus doliatus","scientific name","species","241304","Hologymnosus doliatus",0,0
2104598668,2104598668,"Pseudolabrus eoethinus","scientific name","species","83879","Pseudolabrus eoethinus",0,0
2088256283,2088256283,"Halichoeres melanochir","scientific name","species","51788","Halichoeres melanochir",0,0
985566038,985566038,"Scarus forsteni","scientific name","species","59660","Scarus forsteni",0,0
2089854687,2089854687,"Choerodon azurio","scientific name","species","91744","Choerodon azurio",0,0
2089854683,2089854683,"Cirrhilabrus temminckii","scientific name","species","241276","Cirrhilabrus temminckii",0,0
2089854671,2089854671,"Pseudocheilinus evanidus","scientific name","species","241334","Pseudocheilinus evanidus",0,0
2089854663,2089854663,"Pseudocheilinus hexataenia","scientific name","species","241334","Pseudocheilinus hexataenia",0,0
2089854662,2089854662,"Stethojulis trilineata","scientific name","species","241347","Stethojulis trilineata",0,0
2089854647,2089854647,"Labroides dimidiatus","scientific name","species","241307","Labroides dimidiatus",0,0
2089854615,2089854615,"Wetmorella albofasciata","scientific name","species","241350","Wetmorella albofasciata",0,0
2076239686,2076239686,"Polylepion russelli","scientific name","species","998005","Polylepion russelli",0,0
2074192865,2074192865,"Leptoscarus vaigiensis","scientific name","species","188115","Leptoscarus vaigiensis",0,0
2070655549,2070655549,"Anampses caeruleopunctatus","scientific name","species","241262","Anampses caeruleopunctatus",0,0
2070655535,2070655535,"Cetoscarus bicolor","scientific name","species","188106","Cetoscarus bicolor",0,0
2070655530,2070655530,"Pseudocoris aurantiofasciata","scientific name","species","241336","Pseudocoris aurantiofasciata",0,0
2070655527,2070655527,"Oxycheilinus arenatus","scientific name","species","241326","Oxycheilinus arenatus",0,0
2070655525,2070655525,"Calotomus carolinus","scientific name","species","188111","Calotomus carolinus",0,0
2070655516,2070655516,"Chlorurus sordidus","scientific name","species","126670","Chlorurus sordidus",0,0
2070655511,2070655511,"Halichoeres marginatus","scientific name","species","51788","Halichoeres marginatus",0,0
2070655510,2070655510,"Bodianus axillaris","scientific name","species","241267","Bodianus axillaris",0,0
2070655492,2070655492,"Scarus forsteni","scientific name","species","59660","Scarus forsteni",0,0
2070655490,2070655490,"Oxycheilinus unifasciatus","scientific name","species","241326","Oxycheilinus unifasciatus",0,0
2070655481,2070655481,"Scarus schlegeli","scientific name","species","59660","Scarus schlegeli",0,0
2070655479,2070655479,"Labropsis polynesica","scientific name","species","241311","Labropsis polynesica",0,0
2070655477,2070655477,"Chlorurus frontalis","scientific name","species","126670","Chlorurus frontalis",0,0
2070655475,2070655475,"Scarus oviceps","scientific name","species","59660","Scarus oviceps",0,0
2070655473,2070655473,"Halichoeres trimaculatus","scientific name","species","51788","Halichoeres trimaculatus",0,0
2070655470,2070655470,"Pseudocheilinus hexataenia","scientific name","species","241334","Pseudocheilinus hexataenia",0,0
2070655426,2070655426,"Thalassoma trilobatum","scientific name","species","76337","Thalassoma trilobatum",0,0
2070655425,2070655425,"Thalassoma quinquevittatum","scientific name","species","76337","Thalassoma quinquevittatum",0,0
2070655409,2070655409,"Cirrhilabrus scottorum","scientific name","species","241276","Cirrhilabrus scottorum",0,0
2070655408,2070655408,"Wetmorella nigropinnata","scientific name","species","241350","Wetmorella nigropinnata",0,0
2070655353,2070655353,"Pseudocheilinus tetrataenia","scientific name","species","241334","Pseudocheilinus tetrataenia",0,0
2070655352,2070655352,"Halichoeres hortulanus","scientific name","species","51788","Halichoeres hortulanus",0,0
2070655336,2070655336,"Pseudocheilinus octotaenia","scientific name","species","241334","Pseudocheilinus octotaenia",0,0
2070655335,2070655335,"Labroides bicolor","scientific name","species","241307","Labroides bicolor",0,0
2070655334,2070655334,"Gomphosus varius","scientific name","species","8248","Gomphosus varius",0,0
2070655333,2070655333,"Coris aygula","scientific name","species","126328","Coris aygula",0,0
2070655330,2070655330,"Pseudocheilinus evanidus","scientific name","species","241334","Pseudocheilinus evanidus",0,0
2070655318,2070655318,"Epibulus insidiator","scientific name","species","241288","Epibulus insidiator",0,0
2070655317,2070655317,"Cheilinus trilobatus","scientific name","species","202584","Cheilinus trilobatus",0,0
2070655316,2070655316,"Halichoeres melasmapomus","scientific name","species","51788","Halichoeres melasmapomus",0,0
2070655314,2070655314,"Pseudocheilinus ocellatus","scientific name","species","241334","Pseudocheilinus ocellatus",0,0
2070655312,2070655312,"Pseudojuloides cerasinus","scientific name","species","241338","Pseudojuloides cerasinus",0,0
2070655311,2070655311,"Coris hewetti","scientific name","species","126328","Coris hewetti",0,0
2070655294,2070655294,"Scarus koputea","scientific name","species","59660","Scarus koputea",0,0
2070655288,2070655288,"Bodianus busellatus","scientific name","species","241267","Bodianus busellatus",0,0
2070655272,2070655272,"Iniistius auropunctatus","scientific name","species","315409","Iniistius auropunctatus",0,0
2070655253,2070655253,"Thalassoma lutescens","scientific name","species","76337","Thalassoma lutescens",0,0
2070655220,2070655220,"Coris marquesensis","scientific name","species","126328","Coris marquesensis",0,0
2070655213,2070655213,"Anampses melanurus","scientific name","species","241262","Anampses melanurus",0,0
2070655207,2070655207,"Macropharyngodon meleagris","scientific name","species","241317","Macropharyngodon meleagris",0,0
2070655204,2070655204,"Labropsis polynesica","scientific name","species","241311","Labropsis polynesica",0,0
2070655194,2070655194,"Cheilinus oxycephalus","scientific name","species","202584","Cheilinus oxycephalus",0,0
2070655191,2070655191,"Anampses twistii","scientific name","species","241262","Anampses twistii",0,0
2070655185,2070655185,"Pseudojuloides atavai","scientific name","species","241338","Pseudojuloides atavai",0,0
2070655175,2070655175,"Cheilio inermis","scientific name","species","241272","Cheilio inermis",0,0
2070655160,2070655160,"Scarus psittacus","scientific name","species","59660","Scarus psittacus",0,0
2070655157,2070655157,"Pseudocheilinus octotaenia","scientific name","species","241334","Pseudocheilinus octotaenia",0,0
2070655155,2070655155,"Halichoeres ornatissimus","scientific name","species","51788","Halichoeres ornatissimus",0,0
2070655149,2070655149,"Scarus altipinnis","scientific name","species","59660","Scarus altipinnis",0,0
2070655148,2070655148,"Novaculichthys taeniourus","scientific name","species","241322","Novaculichthys taeniourus",0,0
2070655143,2070655143,"Hemigymnus fasciatus","scientific name","species","241302","Hemigymnus fasciatus",0,0
2070655138,2070655138,"Oxycheilinus bimaculatus","scientific name","species","241326","Oxycheilinus bimaculatus",0,0
2070655124,2070655124,"Scarus niger","scientific name","species","59660","Scarus niger",0,0
2070655122,2070655122,"Cheilinus chlorourus","scientific name","species","202584","Cheilinus chlorourus",0,0
2070655118,2070655118,"Stethojulis bandanensis","scientific name","species","241347","Stethojulis bandanensis",0,0
2070655115,2070655115,"Thalassoma hardwicke","scientific name","species","76337","Thalassoma hardwicke",0,0
2070655112,2070655112,"Thalassoma amblycephalum","scientific name","species","76337","Thalassoma amblycephalum",0,0
2070655106,2070655106,"Scarus globiceps","scientific name","species","59660","Scarus globiceps",0,0
2070655093,2070655093,"Thalassoma quinquevittatum","scientific name","species","76337","Thalassoma quinquevittatum",0,0
2070655092,2070655092,"Bodianus perditio","scientific name","species","241267","Bodianus perditio",0,0
2070655063,2070655063,"Cheilinus undulatus","scientific name","species","202584","Cheilinus undulatus",0,0
2070655037,2070655037,"Cheilinus undulatus","scientific name","species","202584","Cheilinus undulatus",0,0
2070655016,2070655016,"Cheilinus undulatus","scientific name","species","202584","Cheilinus undulatus",0,0
2064684355,2064684355,"Centrolabrus exoletus","scientific name","species","171730","Centrolabrus exoletus",0,0
2045368556,2045368556,"Ctenolabrus rupestris","scientific name","species","171734","Ctenolabrus rupestris",0,0
2045368554,2045368554,"Stethojulis terina","scientific name","species","241347","Stethojulis terina",0,0
2043680909,2043680909,"Hemigymnus melapterus","scientific name","species","241302","Hemigymnus melapterus",0,0
1980526685,1980526685,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1980526633,1980526633,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1983636085,1983636085,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1973544556,1973544556,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1944581878,1944581878,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1944581877,1944581877,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1944581876,1944581876,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1944581875,1944581875,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1944581874,1944581874,"Tautoga onitis","scientific name","species","202601","Tautoga onitis",0,0
1944581873,1944581873,"Stethojulis bandanensis","scientific name","species","241347","Stethojulis bandanensis",0,0
1944581872,1944581872,"Stethojulis bandanensis","scientific name","species","241347","Stethojulis bandanensis",0,0
1944581871,1944581871,"Stethojulis strigiventer","scientific name","species","241347","Stethojulis strigiventer",0,0
1944581870,1944581870,"Stethojulis terina","scientific name","species","241347","Stethojulis terina",0,0
1945361491,1945361491,"Thalassoma cupido","scientific name","species","76337","Thalassoma cupido",0,0
1945361488,1945361488,"Thalassoma cupido","scientific name","species","76337","Thalassoma cupido",0,0
1736641355,1736641355,"Thalassoma amblycephalum","scientific name","species","76337","Thalassoma amblycephalum",0,0
1467494794,1467494794,"Iniistius melanopus","scientific name","species","315409","Iniistius melanopus",0,0
1209184820,1209184820,"Iniistius geisha","scientific name","species","315409","Iniistius geisha",0,0
